simulation,direct_pct,indirect_pct,total_direct_hrs,total_indirect_hrs
193,79.31599164804794,20.68400835195206,222719.30454771864,58080.69545228134
194,80.9329196961892,19.067080303810798,227259.6385068993,53540.361493100725
195,78.72530028254039,21.27469971745961,221060.6431933734,59739.35680662659
196,80.06754423077733,19.93245576922267,224829.66420002276,55970.33579997724
197,78.93175726475174,21.068242735248262,221640.37439942287,59159.62560057712
198,79.81605364573639,20.18394635426361,224123.47863722776,56676.521362772255
199,81.24839119180722,18.751608808192785,228145.48246659467,52654.51753340534
200,80.1267937877906,19.873206212209396,224996.03695611603,55803.963043883996
201,78.69079380660696,21.309206193393038,220963.74900895235,59836.25099104765
202,82.20141020857413,17.79858979142587,230821.55986567616,49978.44013432383
203,80.13995806664157,19.86004193335843,225033.00225112954,55766.997748870475
204,80.64833996596683,19.351660034033173,226460.53862443485,54339.46137556517
205,78.68228863247964,21.31771136752036,220939.86648000282,59860.13351999718
206,79.72933448709398,20.27066551290602,223879.97123975988,56920.02876024014
207,79.41100930119012,20.58899069880988,222986.11411774185,57813.88588225815
208,80.65431627630029,19.345683723699707,226477.3201038512,54322.67989614878
209,78.48655927483209,21.51344072516791,220390.2584437285,60409.74155627148
210,79.163293173448,20.836706826552003,222290.52723104195,58509.47276895804
211,80.93925100879717,19.06074899120283,227277.41683270247,53522.58316729752
212,79.8249930180657,20.175006981934303,224148.5803947285,56651.4196052715
213,80.94481987454384,19.05518012545616,227293.0542077191,53506.94579228089
214,80.28601708789942,19.713982912100576,225443.1359828216,55356.86401717839
215,80.33805420509985,19.66194579490015,225589.25620792038,55210.74379207961
216,79.03129478526918,20.968705214730818,221919.87575703586,58880.12424296414
217,79.45970865713471,20.540291342865288,223122.86190923426,57677.13809076573
218,78.78810766610859,21.211892333891413,221237.00632643292,59562.99367356709
219,79.23935769110653,20.760642308893466,222504.11639662713,58295.88360337287
220,81.72269537099449,18.277304629005513,229477.32860175252,51322.671398247505
221,79.8250058466361,20.174994153363897,224148.61641735418,56651.38358264582
222,80.0996303148855,19.900369685114498,224919.76192419848,55880.23807580152
223,79.93902382359188,20.06097617640812,224468.778896646,56331.221103354
224,79.08811018565237,20.91188981434763,222079.41340131185,58720.58659868817
225,80.29378761079596,19.70621238920404,225464.95561111503,55335.04438888497
226,78.55718923751036,21.442810762489643,220588.5873789291,60211.41262107089
227,80.28967978356589,19.710320216434113,225453.420832253,55346.57916774699
228,80.2664505779172,19.733549422082802,225388.19322279148,55411.80677720852
229,81.03330549335395,18.96669450664605,227541.52182533787,53258.478174662145
230,79.48707150842615,20.512928491573845,223199.69679566065,57600.30320433935
231,79.39946654405038,20.600533455949616,222953.7020556935,57846.2979443065
232,79.33441551462701,20.66558448537299,222771.03876507265,58028.96123492734
233,79.25701424919049,20.74298575080951,222553.69601172692,58246.30398827306
234,80.2232876623873,19.776712337612693,225266.99175598356,55533.008244016426
235,78.22586916146895,21.77413083853105,219658.24060540483,61141.759394595174
236,77.30091362792103,22.699086372078966,217060.96546720224,63739.03453279774
237,81.1317716044211,18.868228395578896,227818.01466521443,52981.98533478557
238,79.60284217146254,20.39715782853746,223524.78081746682,57275.219182533176
239,80.07835853673421,19.921641463265786,224860.03077114967,55939.96922885034
240,80.37533052365472,19.624669476345275,225693.92811042245,55106.071889577564
241,78.98691394760343,21.013086052396574,221795.25436487043,59004.74563512956
242,79.53834385178148,20.461656148218523,223343.6695358024,57456.330464197585
243,80.1341020761392,19.8658979238608,225016.55862979888,55783.44137020111
244,80.07041096140685,19.92958903859315,224837.71397963044,55962.286020369545
245,79.6820906771564,20.317909322843605,223747.31062145514,57052.68937854487
246,79.60887999736451,20.39112000263549,223541.73503259954,57258.264967400435
247,79.26867341801724,20.731326581982756,222586.43495779243,58213.56504220758
248,80.09535316203001,19.90464683796999,224907.75167898028,55892.24832101974
249,78.5073236232268,21.492676376773204,220448.56473402085,60351.43526597915
250,79.38782518374893,20.61217481625107,222921.01311596698,57878.98688403302
251,79.79125453365404,20.20874546634596,224053.84273050056,56746.157269499454
252,79.5319519140667,20.468048085933304,223325.7209746993,57474.27902530069
253,78.19510618127283,21.804893818727166,219571.85815701413,61228.141842985875
254,80.14002032278597,19.859979677214028,225033.17706638298,55766.82293361702
255,79.52555212203424,20.47444787796576,223307.75035867217,57492.24964132782
256,80.4424660868414,19.557533913158593,225882.44477185066,54917.555228149344
257,80.57576183493829,19.42423816506171,226256.73923250672,54543.26076749328
258,78.26932404334738,21.730675956652618,219780.26191371947,61019.738086280544
